Nº,Project,TestClassName,No. Methods,Vocabulary,Word,Strings,Numeric Literals,Comments,Special,Non Whithe Characters,No. Method Invoctions,No. Field Access,No. Primitives,AST size,Max Depth,Avg Depth,Avg Depth Squared,Avg Depth Triple,Deg2,Deg3,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,No. &&,No. ||,No. Ternary,Bad API,Junit,Hamcrest,Mockito
8121,checkstyle,ImportControlLoader,11,94,417,1044,0,2609,1354,9735,56,0,10,543,12,3.6316758747697975,11.506445672191528,56.935543278084715,5158,86358,8473852,34,555,2,4,0,0,0,10,5,0,2,0,0,0,0,0
8122,checkstyle,InputClassFanOutComplexityExcludedPackagesCommonPackageHidden,0,3,3,0,0,0,3,82,0,0,0,0,4,0,0,0,15,37,14,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8123,checkstyle,SuppressionXpathRegressionCyclomaticOne,1,4,6,0,0,0,14,94,0,0,3,7,6,5.285714285714286,15.857142857142858,67,67,295,752,9,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0
8124,checkstyle,ClassDataAbstractionCouplingCheck,4,16,28,30,1,220,94,776,1,0,4,35,8,4.514285714285714,12.857142857142858,55.77142857142857,383,2529,39919436,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8125,checkstyle,InputFinalLocalVariableAnonymousClass,2,8,14,0,0,0,26,191,1,0,1,33,14,4.242424242424242,32.42424242424242,337.1515151515151,97,309,199,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8126,checkstyle,InputCustomImportOrderImportsContainingJava,0,1,1,0,0,0,2,56,0,0,0,0,2,0,0,0,4,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8127,checkstyle,ForEach,1,7,10,0,0,0,15,88,0,0,0,8,8,7.875,34.125,192.375,53,143,58,10,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8128,checkstyle,InputJavadocTypeTags1,31,60,122,42,11,2308,500,3512,0,0,49,60,7,8.633333333333333,20.9,69.73333333333333,2388,55532,368644,22,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8129,checkstyle,MyClass,0,2,2,0,0,0,2,40,0,0,0,0,3,0,0,0,17,65,29,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8130,checkstyle,InputIndentationEmptyArray,2,6,7,0,0,70,38,195,1,0,2,8,8,8.25,34.25,192,103,495,988,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8131,checkstyle,InputImportOrderEclipseStatic,0,1,1,0,0,0,2,42,0,0,0,0,2,0,0,0,4,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8132,checkstyle,InputWhitespace,17,50,103,25,34,558,420,1816,7,0,40,314,10,3.0955414012738856,11.197452229299364,57.59235668789809,1765,18187,-775933606,39,214,1,1,1,0,0,2,2,0,0,2,0,0,0,0
8133,checkstyle,LineColumn,6,19,68,0,0,347,170,1108,7,2,10,110,10,3.3363636363636364,11.3,56.9,652,3748,479004716,28,102,0,0,0,0,0,3,1,1,1,0,0,0,0,0
8134,checkstyle,InnerInterface,5,10,16,16,0,0,40,249,0,0,5,32,10,4.4375,20.875,139.625,156,518,277,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8135,checkstyle,InputAnnotationOnSameLineCheck,1,9,12,0,0,0,18,147,0,0,4,5,6,13.2,36.8,135.6,111,543,5202,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8136,checkstyle,InputMissingCtor,0,1,1,0,0,0,2,29,0,0,0,0,2,0,0,0,4,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8137,checkstyle,PC2,1,6,6,11,0,0,17,84,1,0,1,6,6,6.666666666666667,21.666666666666668,91.66666666666667,54,198,150,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8138,checkstyle,InputInterfaceMemberImpliedModifierNestedOnInterfaceNested,0,7,7,0,0,0,11,201,0,0,0,0,5,0,0,0,58,274,746,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8139,checkstyle,Foo,1,2,2,0,0,0,5,30,0,0,1,0,3,0,0,0,13,35,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8140,checkstyle,InputFromAndroid,0,1,1,0,0,0,2,23,0,0,0,0,2,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8141,checkstyle,InputCommentsIndentationInEmptyBlock,7,16,43,16,15,0,148,509,0,0,10,122,9,2.8688524590163933,10.475409836065573,56.131147540983605,524,2416,3630661,19,90,2,2,0,0,0,7,0,9,3,0,0,0,0,0
8142,checkstyle,Class1Factory1,0,1,1,0,0,0,2,21,0,0,0,0,2,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8143,checkstyle,WhitespaceAroundCheckTest,25,108,719,2910,0,0,2866,14775,214,0,26,1733,9,2.0986728216964803,6.350259665320254,28.577611079053664,10790,268212,672228731,21,1507,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8144,checkstyle,EmptyForIteratorPadCheck,5,42,93,47,3,757,299,1940,19,0,7,146,14,3.7054794520547945,16.513698630136986,121.65068493150685,846,5264,1278949851,35,144,1,1,0,0,0,4,1,2,0,0,0,0,0,0
8145,checkstyle,InputAnnotationLocationVariables,9,15,69,5,0,0,105,985,0,0,19,9,8,35.888888888888886,81.66666666666667,273.22222222222223,883,6141,958010286,14,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8146,checkstyle,InputJava7NumericalLiterals,0,68,68,0,67,37,370,1396,0,0,74,0,5,0,0,0,5464,344128,493,11,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8147,checkstyle,InputIndentationSeparatedStatements,0,1,1,0,0,0,2,48,0,0,0,0,2,0,0,0,4,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8148,checkstyle,InputVisibilityModifierImmutableStarImport,0,3,3,0,0,0,4,84,0,0,0,0,4,0,0,0,37,137,59,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8149,checkstyle,InputIllegalCatch2,2,8,30,0,0,0,59,484,4,0,2,64,9,3.390625,12.359375,61.984375,252,1016,6031,13,34,4,4,0,0,0,0,0,0,0,0,0,0,0,0
8150,checkstyle,ActionListener,0,1,1,0,0,0,2,21,0,0,0,0,2,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8151,checkstyle,AbstractInnerClass,0,1,1,0,0,0,2,25,0,0,0,0,2,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8152,checkstyle,ParenPadTest,2,24,393,1528,0,0,1625,7279,124,0,1,915,9,1.5191256830601092,3.0273224043715845,8.469945355191257,17108,1738054,45257,20,886,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8153,checkstyle,IndentComment,9,37,93,16,7,112,213,1647,18,1,12,171,11,3.3567251461988303,12,65.60233918128655,1132,10618,-2102129617,30,146,0,0,0,0,0,2,2,0,0,0,0,0,0,0
8154,checkstyle,InputIndentationAnonymousClassInMethod,2,10,15,0,0,368,86,567,2,0,2,25,13,5.2,35.44,336.88,128,574,1512,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8155,checkstyle,TextBlock,6,12,16,0,0,945,102,1136,0,0,9,0,5,0,0,0,196,1248,367991,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
